ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES
2_2_2023 20:6:31,0.031085,0.032547,-0.011773,4294.202148,17382.69727,-0.560566,0.039752
2_2_2023 20:6:31,0.031085,0.032547,-0.011773,4294.202148,17382.69727,-0.563062,0.039752
2_2_2023 20:6:31,0.031085,0.032547,-0.011773,4294.202148,17382.69727,-0.563062,0.047942
2_2_2023 20:6:32,-0.044191,0.032547,-0.011773,4294.202148,17382.69727,-0.563062,0.047942
2_2_2023 20:6:32,-0.044191,0.019617,-0.011773,4294.202148,17382.69727,-0.563062,0.047942
2_2_2023 20:6:32,-0.044191,0.019617,-0.022043,4294.202148,17382.69727,-0.563062,0.047942
2_2_2023 20:6:32,-0.044191,0.019617,-0.022043,4294.17041,17382.69727,-0.563062,0.047942
2_2_2023 20:6:32,-0.044191,0.019617,-0.022043,4294.17041,17382.69727,-0.561046,0.047942
2_2_2023 20:6:32,-0.044191,0.019617,-0.022043,4294.17041,17382.69727,-0.561046,0.051065
2_2_2023 20:6:33,0.069265,0.019617,-0.022043,4294.17041,17382.69727,-0.561046,0.051065
2_2_2023 20:6:33,0.069265,-0.03329,-0.022043,4294.17041,17382.69727,-0.561046,0.051065
2_2_2023 20:6:33,0.069265,-0.03329,-0.004213,4294.17041,17382.69727,-0.561046,0.051065
2_2_2023 20:6:33,0.069265,-0.03329,-0.004213,4294.138672,17382.69727,-0.561046,0.051065
2_2_2023 20:6:33,0.069265,-0.03329,-0.004213,4294.138672,17382.69922,-0.561046,0.051065
2_2_2023 20:6:33,0.069265,-0.03329,-0.004213,4294.138672,17382.69922,-0.559702,0.051065
2_2_2023 20:6:33,0.069265,-0.03329,-0.004213,4294.138672,17382.69922,-0.559702,0.024314
2_2_2023 20:6:34,0.049122,-0.03329,-0.004213,4294.138672,17382.69922,-0.559702,0.024314
2_2_2023 20:6:34,0.049122,0.013789,-0.004213,4294.138672,17382.69922,-0.559702,0.024314
2_2_2023 20:6:34,0.049122,0.013789,0.000523,4294.138672,17382.69922,-0.559702,0.024314
2_2_2023 20:6:34,0.049122,0.013789,0.000523,4294.106934,17382.69922,-0.559702,0.024314
2_2_2023 20:6:34,0.049122,0.013789,0.000523,4294.106934,17382.6875,-0.559702,0.024314
2_2_2023 20:6:34,0.049122,0.013789,0.000523,4294.106934,17382.6875,-0.556721,0.024314
2_2_2023 20:6:34,0.049122,0.013789,0.000523,4294.106934,17382.6875,-0.556721,0.07666
2_2_2023 20:6:35,-0.053494,0.013789,0.000523,4294.106934,17382.6875,-0.556721,0.07666
2_2_2023 20:6:35,-0.053494,0.037216,0.000523,4294.106934,17382.6875,-0.556721,0.07666
2_2_2023 20:6:35,-0.053494,0.037216,-0.002489,4294.106934,17382.6875,-0.556721,0.07666
2_2_2023 20:6:35,-0.053494,0.037216,-0.002489,4294.075195,17382.6875,-0.556721,0.07666
2_2_2023 20:6:35,-0.053494,0.037216,-0.002489,4294.075195,17382.65234,-0.556721,0.07666
2_2_2023 20:6:35,-0.053494,0.037216,-0.002489,4294.075195,17382.65234,-0.562741,0.07666
2_2_2023 20:6:35,-0.053494,0.037216,-0.002489,4294.075195,17382.65234,-0.562741,0.051574
2_2_2023 20:6:36,-0.008218,0.037216,-0.002489,4294.075195,17382.65234,-0.562741,0.051574
2_2_2023 20:6:36,-0.008218,0.013831,-0.002489,4294.075195,17382.65234,-0.562741,0.051574
2_2_2023 20:6:36,-0.008218,0.013831,-0.002304,4294.075195,17382.65234,-0.562741,0.051574
2_2_2023 20:6:36,-0.008218,0.013831,-0.002304,4294.043457,17382.65234,-0.562741,0.051574
2_2_2023 20:6:36,-0.008218,0.013831,-0.002304,4294.043457,17382.65234,-0.566106,0.051574
2_2_2023 20:6:36,-0.008218,0.013831,-0.002304,4294.043457,17382.65234,-0.566106,0.048812
2_2_2023 20:6:37,0.183712,0.013831,-0.002304,4294.043457,17382.65234,-0.566106,0.048812
2_2_2023 20:6:37,0.183712,0.020421,-0.002304,4294.043457,17382.65234,-0.566106,0.048812
2_2_2023 20:6:37,0.183712,0.020421,-0.016385,4294.043457,17382.65234,-0.566106,0.048812
2_2_2023 20:6:37,0.183712,0.020421,-0.016385,4294.011719,17382.65234,-0.566106,0.048812
2_2_2023 20:6:37,0.183712,0.020421,-0.016385,4294.011719,17382.66602,-0.566106,0.048812
2_2_2023 20:6:37,0.183712,0.020421,-0.016385,4294.011719,17382.66602,-0.564865,0.048812
2_2_2023 20:6:37,0.183712,0.020421,-0.016385,4294.011719,17382.66602,-0.564865,0.058267
2_2_2023 20:6:38,0.029162,0.020421,-0.016385,4294.011719,17382.66602,-0.564865,0.058267
2_2_2023 20:6:38,0.029162,-0.086092,-0.016385,4294.011719,17382.66602,-0.564865,0.058267
2_2_2023 20:6:38,0.029162,-0.086092,-0.023115,4294.011719,17382.66602,-0.564865,0.058267
2_2_2023 20:6:38,0.029162,-0.086092,-0.023115,4293.979492,17382.66602,-0.564865,0.058267
2_2_2023 20:6:38,0.029162,-0.086092,-0.023115,4293.979492,17382.69531,-0.564865,0.058267
2_2_2023 20:6:38,0.029162,-0.086092,-0.023115,4293.979492,17382.69531,-0.559302,0.058267
2_2_2023 20:6:38,0.029162,-0.086092,-0.023115,4293.979492,17382.69531,-0.559302,0.098233
2_2_2023 20:6:39,-0.090826,-0.086092,-0.023115,4293.979492,17382.69531,-0.559302,0.098233
2_2_2023 20:6:39,-0.090826,-0.033471,-0.023115,4293.979492,17382.69531,-0.559302,0.098233
2_2_2023 20:6:39,-0.090826,-0.033471,-0.014619,4293.979492,17382.69531,-0.559302,0.098233
2_2_2023 20:6:39,-0.090826,-0.033471,-0.014619,4293.947754,17382.69531,-0.559302,0.098233
2_2_2023 20:6:39,-0.090826,-0.033471,-0.014619,4293.947754,17382.69531,-0.558013,0.098233
2_2_2023 20:6:39,-0.090826,-0.033471,-0.014619,4293.947754,17382.69531,-0.558013,0.053584
2_2_2023 20:6:40,-0.023541,-0.033471,-0.014619,4293.947754,17382.69531,-0.558013,0.053584
2_2_2023 20:6:40,-0.023541,0.006728,-0.014619,4293.947754,17382.69531,-0.558013,0.053584
2_2_2023 20:6:40,-0.023541,0.006728,-0.010864,4293.947754,17382.69531,-0.558013,0.053584
2_2_2023 20:6:40,-0.023541,0.006728,-0.010864,4293.916016,17382.69531,-0.558013,0.053584
2_2_2023 20:6:40,-0.023541,0.006728,-0.010864,4293.916016,17382.69531,-0.555919,0.053584
2_2_2023 20:6:40,-0.023541,0.006728,-0.010864,4293.916016,17382.69531,-0.555919,0.049638
2_2_2023 20:6:41,-0.082432,0.006728,-0.010864,4293.916016,17382.69531,-0.555919,0.049638
2_2_2023 20:6:41,-0.082432,0.032273,-0.010864,4293.916016,17382.69531,-0.555919,0.049638
2_2_2023 20:6:41,-0.082432,0.032273,-0.01375,4293.916016,17382.69531,-0.555919,0.049638
2_2_2023 20:6:41,-0.082432,0.032273,-0.01375,4293.884277,17382.69531,-0.555919,0.049638
2_2_2023 20:6:41,-0.082432,0.032273,-0.01375,4293.884277,17382.68945,-0.555919,0.049638
2_2_2023 20:6:41,-0.082432,0.032273,-0.01375,4293.884277,17382.68945,-0.557916,0.049638
2_2_2023 20:6:41,-0.082432,0.032273,-0.01375,4293.884277,17382.68945,-0.557916,0.050871
2_2_2023 20:6:42,-0.018275,0.032273,-0.01375,4293.884277,17382.68945,-0.557916,0.050871
